name,address,website,phone,email
SSV Hr Sec School,SSV Hr Sec School, Ekambareswara Agraharam Street, Sowcarpet, Georgetown, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 600003, India,,,
AB Parekh Hr Sec School,AB Parekh Hr Sec School, Ekambareswara Agraharam Street, Sowcarpet, Georgetown, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 600003, India,,,
Don Bosco School,Don Bosco School, Casa Major Road, Ward 61, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60008, India,,,
Dhanakoti Middle School,Dhanakoti Middle School, Laffond Street, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
Kalyanam Girls High School,Kalyanam Girls High School, Laffond Street, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
Kalyanam Girls Higher Secondary School,Kalyanam Girls Higher Secondary School, Laffond Street, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
Chintadripet Boys Higher Secondary School,Chintadripet Boys Higher Secondary School, Deputy Mayor Kabalamurthy Road, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
சென்னை மாநகராட்ச்சி பள்ளி-சிந்தாரிபேட்டை,சென்னை மாநகராட்ச்சி பள்ளி-சிந்தாரிபேட்டை, West Cooum River Road, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 600003, India,,,
Chintadripet Middle School,Chintadripet Middle School, Guruvappa Street, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 600008, India,,,
RBCC Middle School,RBCC Middle School, Ayya Mudali Street, Ward 62, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
St. Columbans Anglo Indian Matriculation School,St. Columbans Anglo Indian Matriculation School, Gomes Street, Flower Bazaar, Georgetown, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 600108, India,,,
Madras Christian college hr sec school,Madras Christian college hr sec school, Harrington Road, Ward 110, Zone 9 Teynampet, Chennai, Chennai district, Tamil Nadu, 600010, India,,,
KYM,KYM, Muthuswamy Road, Ward 60, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
Loyola college,Loyola college, Nelson Manickam Road, Mahalingapuram, Ward 110, Zone 9 Teynampet, Chennai, Chennai district, Tamil Nadu, 600034, India,,,
Womens Christian College (WCC),Womens Christian College (WCC), College Road, Ward 111, Zone 9 Teynampet, Chennai, Chennai district, Tamil Nadu, 600 006, India,,,
மணிஸ் நர்சரி மற்றும் பிரைமரி பள்ளி,மணிஸ் நர்சரி மற்றும் பிரைமரி பள்ளி, 60, Ponappa Mudali Street, Ward 115, Zone 9 Teynampet, Chennai, Chennai district, Tamil Nadu, 6000 005, India,,,
Chennai,Chennai, Memorial Hall Road, Evening Bazaar, Ward 59, Zone 5 Royapuram, Chennai, Chennai district, Tamil Nadu, 60003, India,,,
copyright : "The data included in this document is from www.openstreetmap.org. The data is made available under ODbL (https://opendatacommons.org/licenses/odbl/summary/index.html)."
